Budget Period,Revision Date,RBS Level 1,RBS Level 2,Risk Name,TRL,TPL,Technology Life Phase,Risk Owner,Baseline +/-,Baseline TYP,Baseline SEV,Baseline FRQ,Baseline RPN,Baseline Description,Response Strategy,Response Description,Response Timing,Residual SEV,Residual FRQ,Residual RPN,Residual Description,Secondary Risks,Recommendations & Action Items,Contingency Plan
Budget Period 1,2017-02-21,External,4.6 Regulatory, task 2.2 Smolt probability of encounter model - data sharing,7.0,7.0,,N. Johnson (environmental),-,E,2.0,4.0,8.0,Data sharing from BBSRI at risk,mitigate,facilitate conversations with Umaine on data sharing ,now,1.0,3.0,3.0,If data is not shared move on to next step of conceptual monitoring plan development,,N. Johnson to continue to faciliate conversations between LGL BBSRI and Umaine re: data sharing,continue environmental monitoring plan development without probability of encounter model
Budget Period 1,2017-02-21,External,4.9 External stakeholder,Task 5 Ice data collected,7.0,7.0,,J. Kasper (UAA lead),-,E,3.0,3.0,,Ice data collection unsuccessful,mitigate,real time data collection implemented,now,2.0,1.0,2.0,If real time data collection is not successful equipment retrieved and redeployed in May 2017,Increased complexity,"UAF to take lead on techical side, M. Worthington to continue to manage this effort","Redesign Ice study equipment for oper water testing, evaluate needs for ice data for component validation"
Budget Period 2,2017-02-21,External,4.6 Regulatory,Permitting/Licensing complete for in water testing,7.0,7.0,Multiple (or all) life phases,N. Johnson (environmental),-,R,4.0,4.0,16.0,Appropriate permits and licenses procured in time for open water testing,avoid,FERC Final license application submittal scheudled for 12/17,now,4.0,3.0,12.0,FERC License not granted in time,Schedule Slip budget creep,"Initiate communication with Regulatory agencies and FERC to scope FERC License.  Resource appropriatley for completion by 12/17, respond to Additional Information Requests promptly  after submission",Consider operating under Verdant Exemption for first year of operation
Budget Period 2,2017-02-21,Technical,1.5 Technology,Generator Final Design ,7.0,7.0,Design,R. Tyler (lead engineer),-,P,3.0,4.0,12.0,Wet Gap Generator design not yet complete,mitigate,Design reviews and component validation testing,before design finalized,3.0,2.0,,manufactured product is stil out of specificaiton,increased cost schedule slip,Work closeley with Generator vendor to develop clear specification and ensure genertor design meets this specification,Refurbish and reuse exisitng Generator
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Generator Procurement,7.0,7.0,Assembly and commissioning,R. Tyler (lead engineer),-,T,3.0,4.0,12.0,Timing of generator procurement from IKM could be tight for schedule,avoid,Ensure Generator delivery by 2/2018 to allow adequate time for testing using project development plan with regular status reports,before manufacturing,3.0,3.0,9.0,Generator has manufacturing or integration issues that need resolution in limited time frame,increased effort and cost ,Continue Communication with IKM and ORPC Ireland to ensure timely procurement,Refurbish and reuse exisitng Generator
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Buoyancy System Procurement,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,T,2.0,2.0,4.0, components are not available,avoid,Compile BOM and ascertain component lead times from vendors in advance of PO issue,before PO issued,3.0,1.0,3.0,Unexepcted component shortage,,USE COTS components,delay buoyancy system validation tests
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Structural Assembly Procurement,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,T,3.0,3.0,9.0,Fabricated components have significant lead times,mitigate,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip",before PO issued,3.0,2.0,6.0,Unexpected fabrication delays,Increased cost and effort,"Freqent vendor communications, contract includes penalties for late delivery",Delay full system validation  tests
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Turbine Procuement,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,T,3.0,4.0,12.0,Fabricated components have significant lead times,mitigate,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip",before PO issued,3.0,2.0,6.0,Unexpected fabrication delays,Increased cost and effort,"Freqent vendor communications, contract includes penalties for late delivery",Delay full system validation  tests
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Power Electronics Procurement,7.0,7.0,Multiple (or all) life phases,M. Worthington (Project Management),-,T,3.0,4.0,12.0,Singel source vendor for some components that require design completion and fabrication,mitigate,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip",now,3.0,3.0,9.0,Unexpected design/fabrication FAT delays,Increased cost and effort,"Freqent vendor communications, contract includes penalties for late delivery",Delay laboratory validation
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,SCADA Procurement,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,T,3.0,4.0,12.0," components are not available, integration of components and software is delayed",avoid,Compile BOM and ascertain component lead times from vendors in advance of PO issue,before PO issued,3.0,3.0,9.0,"Unexepcted component shortage, personel shortage for SCADA development",,"USE COTS components, Start ACADA development early",delay SCADA system validation tests
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,power and Data cable procurement,7.0,7.0,Multiple (or all) life phases,M. Worthington (Project Management),-,T,3.0,4.0,12.0,Fabrication delays and out of spec delivered product,mitigate,Compile BOM and ascertain component lead times from vendors in advance of PO issue,before PO issued,3.0,3.0,,Unexepcted component shortage,,USE COTS components where possible,delay Power and data cable validation tests
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Mooring Sytem Procurement,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,T,3.0,3.0,9.0, components are not available,avoid,Compile BOM and ascertain component lead times from vendors in advance of PO issue,before PO issued,3.0,1.0,3.0,Unexepcted component shortage,,USE COTS components,delay moorins system  validation tests
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Dirveline Procurement,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,T,3.0,4.0,12.0,Custom components require fabrication lead time,mitigate,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip or incorrect product delivery",before PO issued,3.0,2.0,6.0,Unexpected fabrication delays,Increased cost and effort,"Freqent vendor communications, contract includes penalties for late delivery",Delay full system validation  tests
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Mechanical Brake Procurement,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,T,3.0,4.0,12.0,Custom components require fabrication lead time,mitigate,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip or incorrect product delivery",before PO issued,3.0,2.0,6.0,Unexpected fabrication delays,Increased cost and effort,"Freqent vendor communications, contract includes penalties for late delivery",Delay mechanical brake  validation  tests
Budget Period 2,2017-02-21,Commercial,3.3 Suppliers and vendors,Mechanical Brake Procurement,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,T,3.0,4.0,12.0,Custom components require fabrication lead time,mitigate,"Frequent vendor communication , issue PO with room for schedule creep, Rapid change order resolution, contractual penalties for schedule slip or incorrect product delivery",before PO issued,3.0,2.0,6.0,Unexpected fabrication delays,Increased cost and effort,"Freqent vendor communications, contract includes penalties for late delivery",Delay mechanical brake  validation  tests
Budget Period 2,2017-02-21,Technical,1.5 Technology,Buoyancy System Validation,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,Q,4.0,3.0,12.0,Buoyancy System fails some or all of validation tests,avoid,"Utilizing Incremetnal improvements to a proven concept, add redundancy to design Perform land based tests in May 2017 and move on to on water validation tests prior to shipment to Igiugig",before assembly and commissioning,3.0,2.0,6.0,Unexpected component failure after validation but prior to deployment,Increased cost and effort,Clearly scope validation tests to ensure tests rigoroulsy validatebuoyncy system,Secondary redundant  isolated recovery system also validated
Budget Period 2,2017-02-21,Technical,1.5 Technology,Structural Assembly Validation,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,Q,4.0,3.0,12.0,Sturctural Assembly  fails some or all of validation tests,avoid,FEA analysis of structure include load factors following DNV standards and considers extreme loading conditions such as uneven bottom and detalied CAD models for subsystem interfaces vlaidation tests to ensure strucutral integrityu meets specs incorporate structural redundancy,before assembly and commissioning,3.0,2.0,6.0,unexpcted structural failure,"additional desing work, materials, or strucutral damage during validation could increase cost to repair","Complete thorough design and analysis, desing to DNV standards, incoproate redundant strucutre where possible",Utilize local resources to effect repair and/or structural improvements
Budget Period 2,2017-02-21,Technical,1.5 Technology,Turbine Validation,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,Q,3.0,3.0,9.0,Turbine Assembly fails some or all of validation tests,avoid,"Utilize CFD as design tool for performance validation, FEA analysis of turbines include load factors following DNV standards and considers extreme loading conditions, secondary design input from composite manufacturer",before assembly and commissioning,3.0,2.0,6.0,unexpected turbine failure,increased cost added structural elements could reduce turbine performance,"thorough design and analysis, utilizing third party expertise to confirm design","accept lower power output, system removal, inspection and turbine replacement if necessary"
Budget Period 2,2017-02-21,Technical,1.5 Technology,Generator Validation,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,Q,3.0,4.0,12.0,Genertor fails some or all of validation tests,avoid,Factory Accpetance testing and laboratory testing of Genertor integrated with Power elecrtornics to ensure compatibility,before assembly and commissioning,3.0,2.0,6.0,unexpected generator failure,"Increased cost, schedule slip possible",Ensure adequate Factory acceptance testing and laboratory validation before shipment ot Igiugig,Refurbish and reuse protptype generator while effecting generator repair
Budget Period 2,2017-02-21,Technical,1.5 Technology,Power Electronics Validation,7.0,7.0,Multiple (or all) life phases,M. Worthington (Project Management),-,Q,3.0,4.0,12.0,Power Electronics fails validation,avoid,Factory accpetance tests and sequenced laboratory testing to ensure Power Electronics meets requirements before shipment,before assembly and commissioning,3.0,3.0,9.0,unexpected Power Electonics failure or grid integrid issues,"incresed cost, schedule slip possible","Adequate factory acceptance tests, thorough laboratory validation prior to shipment","dissipate power through secondary load bank or brake RivGen device  while resolving PE issues , revert to grid following system if needed"
Budget Period 2,2017-02-21,Technical,1.5 Technology,SCADA Validation,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),-,Q,3.0,4.0,12.0,SCADA system fails validation,avoid,Factory accpetance tests and sequenced laboratory testing to ensure SCADA  meets requirements before shipment,before assembly and commissioning,3.0,3.0,9.0,unexpected SCADA failure or communciations issues,increased cost,"Adequate bench tests through full length power and data cables,  laboratory validation prior to shipment",Operate with simplified control system remove device and repair if on device SCADA compromised. 
Budget Period 2,2017-02-21,Technical,1.5 Technology,power and Data cable validation,7.0,7.0,Multiple (or all) life phases,M. Worthington (Project Management),-,Q,4.0,3.0,12.0,Power and data cables failure,avoid,"Utilize proven cable technology utilize secondary cable armor in high risk areas utilize redundant conductors for data and fiber optic, reduce inspections and associated wear and tear",before assembly and commissioning,4.0,2.0,8.0,unexpected power and data cable failure,"Increased cost and operational complexity, increased uncertainty of cable health with reduced inspections",ensure cable meets specs test full length cable with SCADA system to ensure data signal is adequate,Replace power and data cable
Budget Period 2,2017-02-21,Technical,1.5 Technology,Mooring Sytem Validation,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),,Q,5.0,3.0,15.0,Mooring system failure,avoid,"Design to DNV standards, utilize geophyisical knowledge and seek industry expertise to specify mooring system components, consider most favorable failure modes",before assembly and commissioning,5.0,2.0,10.0,unexpected mooring system failure,increased size and operational complexity as a result of desing to high load and safety factors,Utilize industry expertise to guide mooring system design,"Allow anchor slip as favorable failure mode, replace drage anchors with gravity anchors if needed."
Budget Period 2,2017-02-21,Technical,1.5 Technology,Dirveline Validation,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),,Q,4.0,4.0,16.0,Driveline failure,avoid,"Throught validation testing, desing system for increased operational tolerances and loads, choosed components with long service life and minimal maintenance and alignement requirements increase modularity for replacement",before assembly and commissioning,4.0,3.0,12.0,unexpected direvline failure,Incresed cost,Complete thorough validation testing and incorpoate design mods as needed,"Validation tests in advance of system build, leaving time to redesign and replace."
Budget Period 2,2017-02-21,Technical,1.5 Technology,Mechanical Brake,7.0,7.0,Multiple (or all) life phases,R. Tyler (lead engineer),,Q,4.0,4.0,16.0,Mechanical Brake Failure,avoid,"Throught validation testing, redundant electrical brake, Rely on third party expertise for design",before assembly and commissioning,3.0,3.0,9.0,unexpected mechanical brake failure,Incresed cost and complexity,Complete thorough validation testing including redudnant electrical brake,use electrical brake or remove system from current
Budget Period 3,2017-02-24,External,4.6 Regulatory,Receipt of all permits and licesenses,,,Multiple (or all) life phases,N. Johnson (environmental),-,R,5.0,4.0,20.0,Reciept of FERC Pilot license or permits are delayed and compromise deployment,avoid,"Continue regular dialogue with regulatory agencies after final pilot license and other permit applications, respond to AIRs in timely manner",December,5.0,3.0,15.0,uncertainity with regurlatory agency approvals in spite of regular communication and timely responses,increased cost and effort,manage personnel time and availablity accordingly,"Move forward under Verdant exemption, secure necessary state permits"
Budget Period 3,2017-02-24,Management,2.1 Project management,Component delivery to Igiugig,7.0,7.0,Transportation,M. Worthington (Project Management),-,T,4.0,3.0,12.0,"Component shipment to Igiugig is delayed due to schedule slip, transportation contractor issues, weather or other",mitigate,"Track project schedule, align component validation and delivery to port of shipment with shipper schedules, ship components early if possible arrival on first barge of season (June 2018) or second (Jluy 2018) at latest",before assembly and commissioning,4.0,2.0,8.0,Unexcepcted or uncontrollabel circumstances lead to delays,increased cost and effort,track shipment continuously,delay deployment to 2019 if component delivery is delayed past July 2018
Budget Period 3,2017-02-24,Technical,1.6 Technical interfaces,Device assmebly,7.0,7.0,Assembly and commissioning,R. Tyler (lead engineer),-,T,4.0,3.0,12.0,Device assembly difficult or requires modification in Igiugig,mitigate,"Device assembly is fdifficult or requires workaround in Igiugig due to component interfaces, component damage during shipment, or other.  Timing June-August 2018",June,4.0,2.0,8.0,Preassembl as many components as possible prior to shipment to Igiugig,Increased cost and effort,include device assembly in validation with as many components as practical avoid unnecsary assembly steps prior to shipment to reduce cost and effort,perfrom redesign and modifcation work in Igiugig as needed with local fabrication resources.  If assembly slips past August 2018 deploy system in June 2019
Budget Period 3,2017-02-24,Technical,1.7 System reliability,Power System /comissioning issues,7.0,7.0,Assembly and commissioning,M. Worthington (Project Management),-,Q,5.0,3.0,15.0,Power System deployment/comissioning encounters unexpected difficulties,mitigate,prior device testing and component testing in Nikiksi and elsewhere will reduce unexpected issues with deployment or comissioning. Thewe validation steps completed by May 2018,August,5.0,2.0,10.0,Per shipment validation work in Nikiksi with device and with other components in lab will recude likelihood of unexpcted issues,"testing may cause damge to components, increased cost and effort",Test all components in configuration for Igiugig deployment when practical and within budget ,"Resolove issues with locally available resources.  If issue not resolved by the end of Septmber 2018, remove device for modifcation/repair and redeploy in June 2019"
Budget Period 3,2017-02-24,Technical,1.7 System reliability,Complications with winter ice,6.0,6.0,Extreme events,R. Tyler (lead engineer),-,Q,5.0,4.0,20.0,"Ice accumlation on or interaction with device causes power disruption, reduction, or equipment damage",mitigate,"Collection of in river ice data for 2 years prior to deployment feeds engineeering and IO&M planning, June 2017- June 2018.  ON device ice monitoring allows for operational state modification if adverse conditions or interactions occure",June,5.0,3.0,15.0,Uncertiainty of ice interaction or in river formation leads to impact on device operations,Increased cost and effort,"perform thorough analysis of ice data from in river data collection, perform thorough FMEA of risks this type of ice formation or movement will have on device","Remove divce from irver if possible, or curtail or disccontinue device operations until ice event passes or equipment can be safely removed and repaired if damaged"
Budget Period 3,2017-02-24,External,4.4 Environmental/weather,Adverse salmon smolt interactions,6.0,6.0,Normal power production,N. Johnson (environmental),-,E,4.0,4.0,16.0,"Salmon smolt data collection shows adverse reaction, or inadequate data collection does not provide regualtory agencies with adequate information to allow operation or testing during salmon smolt outmigration",mitigate,"Develop rigorous fish monitroing pland in budget period 2.  Consulst with state and federal agencies reularly to ensure study plan and instrumentation  provides adeqaute infoarmaton for decision making, operate device only under continuoius montiroring during smolt outmigration",May,4.0,3.0,12.0,"Lack of established industry standard for smolt monitoring ore previous data on MHK device with salmon smolt means effort will be experimental in nature, and any result or lack of is possible",incresed cost without eliminating or adequtely redugin risk,Establish adaptive management plan with agencies in advance of deployment to allow real time data anlaysis and modifcaiton of device operational plan if adverse interactions occur,"Stop device operations during smolt outmigration, remove device if necessary"
Budget Period 3,2017-02-24,Technical,1.7 System reliability,Device removal complications,7.0,7.0,Decommissioning,M. Worthington (Project Management),-,Q,5.0,3.0,15.0,Device removal complicated by technological or environmental factors,mitigate,"Buoyancy system includes redundant and isoalted retrieval mechanisms, pre testing In Nikiski to reduce risk of retreival issues arrising",May,5.0,2.0,10.0,redundant pretested systems reduce likleihood of retrieval issue,"increased cost and effort, increase system complexity","Document results of pre testing in Nikiksi, visually inspect devid during deployment with attention to buoyancy system components",Utilize locaaly available resources to develop contingency retrival operations
Budget Period 3,2017-02-24,Commercial,3.3 Suppliers and vendors,Higher cost for maintenance and logistical support required,7.0,6.0,Normal power production,M. Worthington (Project Management),-,C,4.0,4.0,16.0,"Higher cost for maintenance and logistical support required for final design and operations plan, including training and personnel requirements, external equipment and spares.",mitigate,Developing system requirements will be critical for determining technical scope for operations and maintenance technical support; involve local resources and include 3rd party input to accurately ascertain feasibility of proposed systems for logistical and technical requirements in remote environment. Develop trained leads during project who will be responsible for operating the systems after the project.,before assembly and commissioning,2.0,2.0,4.0,Higher cost risk should be lessened,complex supply chain and remote area logistics may still impact cost estimates,structure contract to include incentives/penalties and FFP where possible,"follow contractual provisions for higher costs, ensure lessons learned have path for improvement post-process"
