Date Added,Risk ID,Risk Description,Project Stage,Project Category,Likelihood (1-10),Impact (1-10),"Risk Priority (low, med, high)",Risk Owner,Mitigating Action,Result
,3,Failure to discharge planning and listed building conditions,Pre-construction,Planning,3.3333333333333335,1.6666666666666667,Low,Project Manager,,Design team and contractor to collate initial pack of information for discharge of conditions
,4,Planning conditions impact on budget,Pre-construction,Planning,6.666666666666667,5.0,High,Project Manager,Increase project budget ,Extent of conditions known and to be reviewed and managed
,10,Electricity provider works delayed or non-conforming,Construction,Legislation,3.3333333333333335,3.3333333333333335,Low,Project Manager,Works to provide new supply are delayed / not in accordance with the programme to save having to provide a sub-station.,Orders for the electrical services have been placed by CYC direct
,11,Building Control Sign Off delay due to lack of resources,Construction / Commissioning,Legislation,3.3333333333333335,3.3333333333333335,Low,Project Manager,Revisit design to address concerns of building control,Continue liaison with the Building Control Officer
,12,Impact of boat companies (City Cruises),Construction,Planning,3.3333333333333335,1.6666666666666667,Low,Project Manager,Impact delivery/ site servicing strategy.,Legal agreements are in place
,13,Party wall negotiations & construction access,Pre-construction,Planning,5.0,6.666666666666667,Yellow,Project Manager,Objection from neighbours. Potential delay to programme,Appoint party wall surveyor and progress discussions with neighbours
,14,Failure to secure market interest for restaurant tenant,Pre-construction / Operation,Procurement,5.0,8.333333333333334,High,Project Manager,Restaurant not achieving appropriate tenant and long term revenue projections. Impact on project cost.,Early engagement of agent for potential lettings. Sufficient expressions of interest
,16,Increased construction costs,Construction,Procurement,5.0,5.0,Med,Project Manager,Exchange rate on materials. Impact of international markets following political decisions.,Tender prices received and under review - Risk shall remain prominent where budget costs / provisional sums are included
,18,Sub-contractor insolvency,Construction,Procurement,6.666666666666667,5.0,Med,Construction Manager,Impacts Main Contractor,Contractor financial checks and vetting of subcontractors
,20,Surveys required to determine ground conditions/ contamination,Pre-construction,Surveys,1.6666666666666667,8.333333333333334,Low,Lead Engineer,Possible need to re-visit design / deal with contamination on site. ,"GI survey undertaken, information obtained. Contamination results received. - Desk study provided by Arup"
,21,Identification of active movement,Pre-construction,Surveys,1.6666666666666667,8.333333333333334,Low,Structural Engineer,"Proven to be active, remediation impacts cost ",Ongoing monitoring by ARUP and monitoring specification included within contract documents
,22,Unidentified archaeology,Pre-construction,Surveys,3.3333333333333335,3.3333333333333335,Low,Environment Lead,Further evaluation required. Cost impact,Evaluation of site undertaken
,23,Additional surveys required,Pre-construction,Surveys,1.6666666666666667,1.6666666666666667,Low,Project Manager,Cost impact,Undertake outstanding surveys
,26,Unrealistic programme submitted by contractor,Pre-construction,Programme,1.6666666666666667,5.0,Low,Project Manager,-,Market tested
,27,Programme delays; due to flood levels impacting construction,Construction,Programme,10.0,8.333333333333334,High,Environment Lead,"Works stop, cost and programme implications",Review historic flood data and issue to Contractor. Contingency plan to be developed
,29,Delay to design programme,Pre-construction,Design,5.0,5.0,Med,Design Manager,Client/ Contractor impact cost/programme,Implementation of IRS schedules design deliverables and clear responsibility for design
,31,"Underpinning, piling and crack repairs to be considered",Pre-construction,Design,5.0,8.333333333333334,High,Structural Engineer,May resolve existing cracks and movement of the tower but other cracks may appear elsewhere that will require repairing.,"Detailed dilapidations surveys, crack monitors"
,32,Discovering structural unknowns,Construction,Design,8.333333333333334,6.666666666666667,,Structural Engineer,Costs of additional surveys and remediation works. ,Undertake surveys early to determine unknowns. Allow suitable contingency for remediation. Biggest concerns being the tower underpinning and South Range
,35,Undetected services not identified on surveys and drawings,Construction,Services,3.3333333333333335,5.0,High,Lead Engineer,Programme/ re-design/ cost impact to address unknown ,Utilities surveys maps obtained and plotted on SGA drawings. Careful excavation / groundworks when on site
,40,River source heat pump license approval by the Environment Agency; Refused,Pre-construction,Services,1.6666666666666667,6.666666666666667,Low,Environment Lead,Delay in no approval from EA ,Provisional consent obtained; continued dialogue required
,41,Sourcing stone for remediation works,Construction,Materials,6.666666666666667,5.0,Med,Procurement Manager,"Quarry that stone exists from is closed. Impacts programme, and different stone requires further approval from Historic England and the planning authority",Investigate other quarries which supply the stone. Liaise with Historic England and the planning authority to have an alternative approved.
,42,Structural damage and the repairs required to the tower,Construction,Construction,6.666666666666667,6.666666666666667,High,Structural Engineer,Finding the right solution to undertake the underpinning works,Bullivants / Arup design and Vinci temporary works design to be reviewed in detail to mitigate any consequential delay. Building monitoring systems and locations to be agreed.
,48,Outstanding defects remaining unresolved,Commissioning,Post contract,3.3333333333333335,5.0,Low,Project Manager,CYC left with legacy issues and building defects which need resolving / impact on tenant occupation / satisfaction.,Ability to resolve within the building contract. Use of retention
,50,Costs exceeds allocated budget (Non Construction costs),Construction / Commissioning,Financial,8.333333333333334,5.0,High,Project Manager,"Particular risks surrounding consultant fees, furniture / fit out works etc. ",Review non construction costs prior to contract award and during construction
,51,Incorrect estimation design errors and ambiguities,Pre-construction,Financial,5.0,5.0,Med,Design Manager,Construction cost overrun,Risk sits with CYC except CDP items
,56,Availability of specialist labour / equipment,Construction,Construction,5.0,5.0,Med,Project Manager,Change in specification / need to  appoint specialists / commission bespoke works ,Dialogue with main contractor & supply chain
,61,Poor co-ordination with design team interfaces (contractor design portions),Construction,Design,3.3333333333333335,5.0,Low,Design Manager,-,CDP requirements have reduced from initial intent - Regular meetings to be held with Vinci and Design Team to discuss CDP interfaces.
,62,Rights of Light,Pre-construction,Adjoining Owners,1.6666666666666667,6.666666666666667,Low,Project Manager,-,Title report does not identify any issues
,64,Poor contractor performance during construction,Construction,Construction,3.3333333333333335,8.333333333333334,Med,Project Manager,-,Contract to be signed to protect client - performance bonds to be obtained.
,66,Unknown South Range structures,Construction,Design,6.666666666666667,5.0,Med,Structural Engineer,Risk of discovering old basement causing issues with piling proposals ,
,67,Insufficient design detail from specialist CDP packages,Pre-construction,Design,5.0,1.6666666666666667,Low,Design Manager,Impacts the sign off planning conditions  / listed building consents etc. in  particular pre-commencement  conditions ,Regular design reviews and interface management
,70,Satisfying EA requirements,Pre-construction,Design,1.6666666666666667,8.333333333333334,Low,Environment Lead,Incident occurring which stops the work  and action required to resolve the issue. EA Prohibition.,Waste management and compliance with the EA to ensure no environmental hazards
,72,Delay in design programme due to tenant/operator requirements,Pre-construction,Design,5.0,5.0,Med,Design Manager,Operator changes impacting on cost / programme,Recovery of cost / time included within the Agreements for Lease should late or significant changes be made
,73,Design changes (including client changes/ variations / EOT & loss & expense claims) and unforeseen items,Construction,Financial,10.0,8.333333333333334,High,Project Manager,Construction cost overrun,Traditional contract — risk with CYC; secure adequate contingency
,75,Weather delays,Construction,Construction,8.333333333333334,5.0,Med,Project Manager,"Delay to programme - Wind, Temp, Rain",Contractor to provide impact and allowances via contract
,76,Underpinning/ crack repairs by third parties,Construction,Design,3.3333333333333335,8.333333333333334,Med,Structural Engineer,Cracks may appear elsewhere. Remediation costs,"Detailed dilapidations surveys, crack monitors"
,77,Ground conditions - Borehole survey depth insufficient,Pre-construction,Surveys,5.0,5.0,Med,Lead Engineer,Proposed piling designs impacted by this and require altering - Time & Cost impact,"Additional bore hole surveys indertaken, no foundatons / obstructions found albeit at relatively shallow depth. (near tower) Bullivants / Arup to review surveys and confirm they are happy with findings. Vinci to design piling to new structures and confirm site information held is adequate"
,80,Instability to boundary wall following demolition,Construction,Design,5.0,3.3333333333333335,Low,Structural Engineer,Structural works required (piers),Assessment of wall structure required - Scope of works to be determined
,81,Clashes between the existing building foundations and proposed drainage network. No information is available for the existing buildings therefore it has not been possible to co-ordinate the height of drainage to pass above/ under the existing foundation as required.,Construction,Surveys,5.0,3.3333333333333335,Low,Lead Engineer,Co-ordination of drainage with foundations during construction. Cost impact.,Trial holes could be undertaken to better understand the existing foundations. Drainage has been designed conservatively to allow for a level of contingency in the design if foundations impact drainage runs.
,82,Potential drainage clash with proposed lift shaft pits,Construction,Surveys,1.6666666666666667,5.0,Low,Lead Engineer,Additional external drainage network,Trial hole dug in the location and appears to be clear - risk to be reviewed again once demoliton of north annex is complete.
,83,Billing omissions or inaccuracies in BoQ,Pre-construction,Financial,6.666666666666667,8.333333333333334,High,Project Manager,Missing information within the BoQ resulting in time and cost increases,T&T have carried out reviews of the BoQ
,84,Additional works not covered by contract documents. Arising from opening up works / scope and extent of works greater than assumed etc.,Construction,Financial,10.0,8.333333333333334,High,Project Manager,Cost & programme,Detailed change management process to be followed.
,85,"Ongoing movement in the south range, given the removal of underpinning from the scheme",Construction / Operation,Design,3.3333333333333335,6.666666666666667,Med,Structural Engineer,Underpinning works reinstated resulting in cost and time impact,Monitoring during works
,87,"Design change due to level of development and coordination at the point of tender, for items such as North Annex chimney, retaining walls and stairs, and movement joints to existing structures",Pre-construction,Design,3.3333333333333335,3.3333333333333335,Low,Design Manager,Impact on cost and programme - changes may delay construction activity / impact on sequencing resulting in EOT claims,Coordination to be managed by design team as a priority - Design changes to retaining concrete wall has been instructed by CYC and should be underway by design team.
,88,Council chamber cooling to be approved,Commissioning,Design,3.3333333333333335,5.0,Low,Design Manager,Revisit of design proposals - time and cost,Design team to coordinate with planning / conservation
