Date Added,Number,Risk Description,Project Stage,Project Category,Risk Owner,Likelihood (1-10),Impact (1-10),"Risk Priority (low, med, high)",Mitigating Action
,ICT-001,"Identity and Access Management (IAM) systems compromised

Systems are susceptible to intrusion from external sources due to web applications supported by out of date operating systems",Operations,Cybersecurity,Infrastructure Manager,3,7,High,"Implement automated IAM systems and Multiform Authentication where required

Complete Update of new Application Architecture.

Data encryption at rest and in transit implemented for all systems.

ISO 27001 based Framework and associated relevant controls implemented."
,ICT-002,"Backup and recovery services are not documented and untested.

Critical Systems are supported by out of date infrastructure and operating systems, resulting in database corruptions",Operations,Infrastructure,Infrastructure Manager,9,7,Med,"Implement automated IAM systems and Multiform Authentication where required

Complete Update of new Application Architecture.

Data encryption at rest and in transit implemented for all systems.

ISO 27001 based Framework and associated relevant controls implemented."
,ICT-003,"Critical Systems are supported by out of date infrastructure and operating systems, resulting in numerous outages and untreatable cyber security intrusions.

Current infrastructure is not architected for high availability.

Lack of Disaster Recovery facilities that will meet  Recovery Time and Point Objective requirements",Operations,Infrastructure,Infrastructure Manager,10,7,High,"Document and Test Backup and Recovery services.

Migrate systems to new Infrastructure.

ISO 27001 based Framework and associated relevant controls implemented."
